epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,546.012,1.117,1.33222,1.0076,0.94906,0.93165,0.99088,0.66101,1.11278,2.25544,1.09397,0.0014456,0.0014456,0.0014456
44,558.042,1.13834,1.46004,0.9886,0.41126,0.71609,0.41196,0.27747,1.12038,2.1289,1.09244,0.0014324,0.0014324,0.0014324
45,569.996,1.22302,1.36717,1.08628,0.41126,0.71609,0.41196,0.27747,1.12038,2.1289,1.09244,0.0014192,0.0014192,0.0014192
46,582.273,1.15038,1.25138,0.99084,0.41004,0.675,0.41915,0.27812,1.12136,2.05523,1.08025,0.001406,0.001406,0.001406
47,594.428,1.2774,1.55213,1.04759,0.87795,0.9,0.91882,0.68465,0.95497,1.86262,1.02135,0.0013928,0.0013928,0.0013928
48,606.322,1.20354,1.33177,0.95394,0.97469,0.96294,0.99205,0.695,0.99096,1.70867,1.03954,0.0013796,0.0013796,0.0013796
49,618.106,1.23193,1.38642,0.94064,0.97469,0.96294,0.99205,0.695,0.99096,1.70867,1.03954,0.0013664,0.0013664,0.0013664
50,630.515,1.26733,1.36308,0.99222,0.98986,1,0.995,0.65906,1.10312,1.66166,1.05789,0.0013532,0.0013532,0.0013532
51,642.827,1.17047,1.2567,0.99707,0.82792,0.96239,0.92614,0.62598,1.04735,1.65613,1.05465,0.00134,0.00134,0.00134
52,654.888,1.14535,1.29041,0.95386,0.75282,1,0.78477,0.52574,1.0163,1.5315,1.05675,0.0013268,0.0013268,0.0013268
53,666.745,1.05244,1.09328,0.97946,0.75282,1,0.78477,0.52574,1.0163,1.5315,1.05675,0.0013136,0.0013136,0.0013136
54,678.7,1.09319,1.33139,0.96751,1,0.96965,0.99405,0.73548,0.91698,1.38051,1.02483,0.0013004,0.0013004,0.0013004
55,690.836,1.04516,1.18201,0.92809,0.99707,1,0.995,0.74523,0.93135,1.34159,1.05748,0.0012872,0.0012872,0.0012872
56,702.942,1.10248,1.22174,1.01617,0.99563,1,0.995,0.73914,0.9606,1.46055,1.05425,0.001274,0.001274,0.001274
57,714.996,0.95459,1.13722,0.96504,0.99563,1,0.995,0.73914,0.9606,1.46055,1.05425,0.0012608,0.0012608,0.0012608
58,726.881,0.92634,1.1814,0.91985,0.99362,1,0.995,0.73777,0.94975,1.49066,1.02404,0.0012476,0.0012476,0.0012476
59,738.764,0.94484,1.09405,0.90781,0.95224,0.99702,0.98157,0.70069,0.98193,1.32894,1.03282,0.0012344,0.0012344,0.0012344
60,750.83,1.01284,1.06108,0.93196,0.89647,0.975,0.97682,0.69644,0.90531,1.22459,1.0041,0.0012212,0.0012212,0.0012212
61,762.89,0.99633,1.10755,0.90875,0.89647,0.975,0.97682,0.69644,0.90531,1.22459,1.0041,0.001208,0.001208,0.001208
62,774.976,0.95804,1.05419,0.98156,0.99758,1,0.995,0.73387,0.87668,1.17826,0.9919,0.0011948,0.0011948,0.0011948
63,786.991,0.99675,1.01947,0.97116,0.99643,1,0.995,0.74217,0.88353,1.16598,0.99707,0.0011816,0.0011816,0.0011816
